Date	Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/04/16	Sun	03:32 AM	7.39	225	H
2017/04/16	Sun	10:30 AM	0.39	12	L
2017/04/16	Sun	05:18 PM	5.96	182	H
2017/04/16	Sun	10:17 PM	3.37	103	L
2017/04/17	Mon	04:12 AM	7.04	215	H
2017/04/17	Mon	11:20 AM	0.60	18	L
2017/04/17	Mon	06:20 PM	5.77	176	H
2017/04/17	Mon	11:12 PM	3.64	111	L
2017/04/18	Tue	05:02 AM	6.69	204	H
2017/04/18	Tue	12:18 PM	0.77	23	L
2017/04/18	Tue	07:27 PM	5.76	176	H
2017/04/19	Wed	12:24 AM	3.72	113	L
2017/04/19	Wed	06:06 AM	6.41	195	H
2017/04/19	Wed	01:20 PM	0.82	25	L
2017/04/19	Wed	08:29 PM	5.95	181	H
2017/04/20	Thu	01:43 AM	3.52	107	L
2017/04/20	Thu	07:20 AM	6.30	192	H
2017/04/20	Thu	02:20 PM	0.75	23	L
2017/04/20	Thu	09:19 PM	6.31	192	H
2017/04/21	Fri	02:52 AM	3.02	92	L
2017/04/21	Fri	08:34 AM	6.42	196	H
2017/04/21	Fri	03:14 PM	0.63	19	L
2017/04/21	Fri	09:59 PM	6.78	207	H
2017/04/22	Sat	03:48 AM	2.31	70	L
2017/04/22	Sat	09:39 AM	6.70	204	H
2017/04/22	Sat	04:02 PM	0.52	16	L
2017/04/22	Sat	10:36 PM	7.34	224	H
2017/04/23	Sun	04:37 AM	1.46	45	L
2017/04/23	Sun	10:38 AM	7.07	215	H
2017/04/23	Sun	04:46 PM	0.48	15	L
2017/04/23	Sun	11:11 PM	7.94	242	H
2017/04/24	Mon	05:23 AM	0.55	17	L
2017/04/24	Mon	11:32 AM	7.41	226	H
2017/04/24	Mon	05:29 PM	0.55	17	L
2017/04/24	Mon	11:47 PM	8.52	260	H
2017/04/25	Tue	06:08 AM	-0.32	-10	L
2017/04/25	Tue	12:24 PM	7.67	234	H
2017/04/25	Tue	06:11 PM	0.74	23	L
2017/04/26	Wed	12:24 AM	9.02	275	H
2017/04/26	Wed	06:53 AM	-1.05	-32	L
2017/04/26	Wed	01:15 PM	7.79	237	H
2017/04/26	Wed	06:54 PM	1.04	32	L
2017/04/27	Thu	01:03 AM	9.36	285	H
2017/04/27	Thu	07:40 AM	-1.57	-48	L
2017/04/27	Thu	02:08 PM	7.76	237	H
2017/04/27	Thu	07:38 PM	1.43	44	L
2017/04/28	Fri	01:44 AM	9.47	289	H
2017/04/28	Fri	08:28 AM	-1.81	-55	L
