Date,Day	Time	Pred(Ft)	Pred(cm)	High/Low
2017/04/26	Wed	08:19 PM	0.89	27	L
2017/04/27	Thu	02:27 AM	8.35	255	H
2017/04/27	Thu	09:02 AM	-1.30	-40	L
2017/04/27	Thu	03:27 PM	7.08	216	H
2017/04/27	Thu	09:03 PM	1.19	36	L
2017/04/28	Fri	03:08 AM	8.44	257	H
2017/04/28	Fri	09:49 AM	-1.50	-46	L
2017/04/28	Fri	04:20 PM	6.92	211	H
2017/04/28	Fri	09:49 PM	1.55	47	L
2017/04/29	Sat	03:53 AM	8.32	254	H
2017/04/29	Sat	10:39 AM	-1.44	-44	L
2017/04/29	Sat	05:15 PM	6.68	204	H
2017/04/29	Sat	10:40 PM	1.94	59	L
2017/04/30	Sun	04:41 AM	7.98	243	H
2017/04/30	Sun	11:32 AM	-1.17	-36	L
2017/04/30	Sun	06:15 PM	6.42	196	H
2017/04/30	Sun	11:37 PM	2.29	70	L
2017/05/01	Mon	05:35 AM	7.46	227	H
2017/05/01	Mon	12:30 PM	-0.77	-23	L
2017/05/01	Mon	07:19 PM	6.22	190	H
2017/05/02	Tue	12:44 AM	2.54	77	L
2017/05/02	Tue	06:37 AM	6.87	209	H
2017/05/02	Tue	01:32 PM	-0.31	-9	L
2017/05/02	Tue	08:26 PM	6.16	188	H
2017/05/03	Wed	02:01 AM	2.57	78	L
2017/05/03	Wed	07:49 AM	6.32	193	H
2017/05/03	Wed	02:37 PM	0.09	3	L
2017/05/03	Wed	09:31 PM	6.25	190	H
2017/05/04	Thu	03:22 AM	2.32	71	L
2017/05/04	Thu	09:07 AM	5.95	181	H
2017/05/04	Thu	03:42 PM	0.41	12	L
2017/05/04	Thu	10:29 PM	6.46	197	H
2017/05/05	Fri	04:34 AM	1.85	56	L
2017/05/05	Fri	10:23 AM	5.81	177	H
2017/05/05	Fri	04:41 PM	0.66	20	L
2017/05/05	Fri	11:19 PM	6.72	205	H
2017/05/06	Sat	05:33 AM	1.29	39	L
2017/05/06	Sat	11:30 AM	5.83	178	H
2017/05/06	Sat	05:33 PM	0.88	27	L
2017/05/07	Sun	12:01 AM	6.96	212	H
2017/05/07	Sun	06:22 AM	0.74	23	L
2017/05/07	Sun	12:27 PM	5.93	181	H
2017/05/07	Sun	06:18 PM	1.10	34	L
2017/05/08	Mon	12:37 AM	7.14	218	H
2017/05/08	Mon	07:04 AM	0.28	9	L
2017/05/08	Mon	01:17 PM	6.03	184	H
2017/05/08	Mon	06:59 PM	1.32	40	L
2017/05/09	Tue	01:11 AM	7.27	222	H
2017/05/09	Tue	07:43 AM	-0.09	-3	L
